Code client ou identifiant client,Centre de cout,Prénom,Nom,Sexe,Titre,Nom,C/O,Rue,Code Postal,Ville,Pays,Nation,Téléphone,E-mail,Date de création compte VEL,Date de création compte jeff club,Date de dernière connexion VEL,Date de dernière connexion jeff club,inscription newsletter VEL,inscription newsletter jeff club,Date de naissance,Code client du magasin préféré pour les clients Jeff club,Email vérifier (Seulement pour les comptes VEL),Compte bloqué ?,Raison du blocage du compte
662347,VEL,Shad,Test Data,,,,,39 Avenue du Roussillon Bat A2 Appt 25,87000,LIMOGES,France,France,670334363,sdugue+1@clever-age.com,2020-09-21 19:45:18,,2020-09-21 21:09:38,,0,0,1991-02-12,,1,0,
662348,JC,Leonard,Ocean,F,mm,,,,,,,,,sdugue+2@clever-age.com,,2020-09-21 19:50:20,,2020-09-21 19:53:10,0,1,1986-02-07,C9316,1,0,
662349,VEL,Wade,Austin,,,,,49 rue de Paris,78600,MAISONS LAFFITTE,France,France,646733695,sdugue+3@clever-age.com,2020-09-21 20:11:49,,2020-09-21 20:13:17,,1,0,1978-10-16,,1,0,
662350,JC,Kyle,Hedda,F,mm,,,,,,,,,sdugue+4@clever-age.com,,2020-09-21 20:18:40,,2020-09-21 20:48:09,0,1,2020-09-18,LG9101,1,0,
662351,JC,Adam,Kristen,F,mm,,,,,,,,,sdugue+5@clever-age.com,,2020-09-21 20:27:23,,2020-09-21 20:27:24,0,0,1996-03-27,C3313,1,0,
662352,JC,Alden,Berk,F,mm,,,,,,,,,sdugue+6@clever-age.com,,2020-09-21 20:29:50,,2020-09-21 20:29:51,0,1,,C5909,1,0,
662353,VEL,Barrett,Barclay,,,,,20 Rue de la Marne Studio 4,29200,BREST,France,France,3376928810,sdugue+7@clever-age.com,2020-09-21 20:30:30,,2020-09-21 20:32:05,,0,0,1993-12-22,,1,0,
662354,VEL,Hasad,Guinevere,,,,,6 q route de l’étang saint denis,92370,CHAVILLE,France,France,677441484,sdugue+8@clever-age.com,2020-09-21 20:31:09,,2020-09-21 20:34:43,,1,0,1982-12-14,,1,0,
662355,VEL,Kibo,Abdul,,,,,24 rue Lafayette,93600,AULNAY SOUS BOIS,France,France,685920449,sdugue+9@clever-age.com,2020-09-21 20:31:45,,2020-09-21 20:32:21,,1,0,1977-11-24,,1,0,
662356,VEL,Victor,Rudyard,,,,,8646 Harding Avenue,60076,SKOKIE,France,France,3129278567,sdugue+10@clever-age.com,2020-09-21 20:46:03,,2020-09-21 20:54:29,,0,0,1984-09-20,,1,0,
662357,JC,Cade,Reed,F,mm,,,,,,,,,sdugue+11@clever-age.com,,2020-09-21 20:51:57,,2020-09-21 20:51:57,0,1,1951-09-19,CM5904,1,0,
662358,JC,Ross,Ava,F,mm,,,,,,,,,sdugue+12@clever-age.com,,2020-09-21 20:53:21,,2020-09-21 20:55:58,0,0,1987-10-30,C5610,1,0,
662359,JC,Daniel,Tanya,F,mm,,,,,,,,,sdugue+13@clever-age.com,,2020-09-21 20:54:18,,2020-09-22 08:43:18,0,1,1981-10-01,C4301,1,0,
662360,JC,Caldwell,Lysandra,F,mm,,,,,,,,,sdugue+14@clever-age.com,,2020-09-21 20:56:17,,2020-09-21 20:56:18,0,1,1968-05-19,C3306,1,0,
662361,VEL,Abdul,George,,,,,46 rue de portillon,37540,SAINT CYR SUR LOIRE,France,France,613714829,sdugue+15@clever-age.com,2020-09-21 21:01:15,,2020-09-21 21:01:39,,0,0,1969-12-28,,1,0,
662362,JC,Samson,Adele,F,mm,,,,,,,,,sdugue+16@clever-age.com,,2020-09-21 21:13:51,,2020-09-21 21:13:52,0,1,1972-11-07,C5918,1,0,
662363,VEL,Kato,Alyssa,,,,,2 rue de la couperie,78650,BEYNES,France,France,679548601,sdugue+17@clever-age.com,2020-09-21 21:29:49,,2020-09-21 21:32:54,,0,0,1970-03-09,,1,0,
662364,VEL,Shad,Tallulah,,,,,7 rue du père Zacharie,14100,LISIEUX,France,France,613375635,sdugue+18@clever-age.com,2020-09-21 21:35:43,,2020-09-22 08:26:26,,1,0,1975-08-24,,1,0,
662365,VEL,Charles,Timon,,,,,6 allée de Queyratz,31320,AUZEVILLE-TOLOSANE,France,France,781494947,sdugue+19@clever-age.com,2020-09-21 21:36:32,,2020-09-21 21:37:12,,0,0,2020-09-21,,1,0,
662366,JC,Hamilton,Isabelle,F,mm,,,,,,,,,sdugue+20@clever-age.com,,2020-09-21 21:37:19,,2020-09-21 21:37:20,0,1,1989-05-02,C3318,1,0,
662367,VEL+JC,Fritz,April,F,mm,,,75 route de la boisse,1390,TRAMOYES,France,France,683782747,sdugue+21@clever-age.com,2020-09-21 21:55:04,2020-09-21 21:52:10,2020-09-21 21:55:04,2020-09-21 21:52:11,1,1,1987-09-21,C4202,1,0,
662368,VEL+JC,Duncan,Amelia,F,mm,,,152 rue albert 1 er,59123,59123 - BRAY DUNES,France,France,677671690,sdugue+22@clever-age.com,2020-09-21 22:54:20,2020-09-21 21:58:35,2020-09-21 23:05:48,2020-09-21 23:21:04,1,1,1967-09-19,C5909,1,0,
662369,VEL,Jerome,Moses,,,,,147 impasse de Cornillon,74800,SAINT LAURENT,France,France,674060613,sdugue+23@clever-age.com,2020-09-21 22:10:34,,2020-09-21 22:17:18,,0,0,1989-11-05,,1,0,
662370,JC,Warren,Charlotte,F,ms,,,,,,,,,sdugue+24@clever-age.com,,2020-09-21 22:36:12,,2020-09-21 22:36:12,0,0,1996-02-22,C6803,1,0,
